"조서관리코드","프로젝트코드","지자체","조서유형(구분)","대분류","중분류","소분류","위치명","지역명","면적기정","면적증감코드","면적변경","면적변경후","결정고시관리코드"
"11000AGZ201209199041","11000PPL201205106482","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업구역","용산구 한강로3가 63번지 일대","국제빌딩주변 도시환경정비구역","91507.9","1","18594.4","110102.3","11000NTC201205106482"
"11000AGZ201210088195","11000PPL201208306608","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","용산구 효창동 13번지 일대","효창 제5주택 재개발 정비구역","22933.2","2","17.6","22915.6","11000NTC201208306608"
"11000AGZ201210108196","11000PPL201106096126","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","동대문구 전농동 440-9번지 일대","전농제7재정비촉진구역","151859.5","1","6","151865.5","11000NTC201106096126"
"11000AGZ201210110051","11000PPL201209136618","서울특별시","신설","의제처리구역","정비구역","주택재건축사업","동작구 사당동 41-17번지 일대","사당3주택재건축 정비구역","","","","31745","11000NTC201209136618"
"11000AGZ201210220053","11000PPL201209066612","서울특별시","변경","의제처리구역","정비구역","주택재건축사업","관악구 신림동 1644번지 일대","강남아파트주택재건축정비구역","26941.7","1","3.7","26945.4","11000NTC201209066612"
"11000AGZ201210229508","11000PPL201210186660","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업지구","마포구 도화동 17-22번지 일대","마포로1구역 제20지구","1339","1","304.2","1643.2","11000NTC201210186660"
"11000AGZ200912249454","11000PPL200912244309","서울특별시","변경","의제처리구역","정비구역","재개발사업지구","서소문동 58-9","서소문10도시환경정비지구","3457","","","3580.7","11000NTC200912244309"
"11000AGZ200912249455","11000PPL200912244309","서울특별시","변경","의제처리구역","정비구역","재개발사업지구","서소문동 58-25","서소문11도시환경정비지구","3793","","","5422.3","11000NTC200912244309"
"11000AGZ200912249456","11000PPL200912244309","서울특별시","신설","의제처리구역","정비구역","재개발사업지구","","서소문16도시환경정비지구","","","","1006.6","11000NTC200912244309"
"11000AGZ201302128227","11000PPL201209266640","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","은평구 증산동 205-33 일대","증산4주택재개발사업구역","175735","2","2803","172932","11000NTC201209266640"
"11000AGZ201302128228","11000PPL201209266640","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","은평구 수색동 309-8 일대","수색14주택재개발사업구역","42214","2","26","42188","11000NTC201209266640"
"11000AGZ201105027945","11000PPL201101205874","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","서울시 성북구 정릉2동 539-1번지 일대","정릉제10구역주택재개발정비사업","18107","","","18107","11000NTC201101205874"
"11000AGZ201105067946","11000PPL201104016037","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","용산구 용문동 90번지 일대","용문구역주택재개발","12853","2","0.4","12852.6","11000NTC201104016037"
"11000AGZ201105099945","11000PPL200707191271","서울특별시","변경","의제처리구역","정비구역","재건축사업구역","은평구 신사동 19번지 일대","신사동19번지 주택재건축정비사업","17823.4","2","76.2","17747.2","11000NTC200707191271"
"11000AGZ199502040743","11000PPL199502045062","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","관악구 봉천동 산94번지일대","봉천2구역","97933","","","100814","11000NTC199502045062"
"11000AGZ199502110664","11000PPL199502115078","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","성북 돈암동 19-80번지일대","돈암3구역","238484","","","238300","11000NTC199502115078"
"11000AGZ199502150695","11000PPL199502155081","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업구역","내수동70일대","내수구역","37530","","","35541","11000NTC199502155081"
