순번,정비 구역명,시군구명,법정동명,번,지,지목,지구유형,사업시행방식,시행자 구분,시행단계,정비유형,생활권유형,정비구역 면적(제곱미터),용적률,건폐율,기본계획명,고시번호,고시일
68,성수전략정비구역 제3지구,성동구,성수동2가,572,7,대,정비구역이 아닌 구역,주택정비형재개발,조합(단독),조합설립인가,,,"114,193",317,18,성수전략정비구역 제1종지구단위계획,서울시 고시 제2011-49호,2011-02-17
69,성수전략정비구역 제4지구,성동구,성수동2가,219,4,대,정비구역이 아닌 구역,주택정비형재개발,조합(단독),조합설립인가,,,"89,828",315,21,성수전략정비구역 제1종지구단위계획,서울시 고시 제2011-49호,2011-02-17
70,응봉1주택재건축정비사업,성동구,응봉동,193,162,대,정비(예정)구역,재건축(단독),조합(단독),조합설립인가,,,"35,587",218,30,도시 및 주거환경정비 기본계획,서울특별시고시 제2006-95호,2006-03-23
71,장안평 중고차매매센터 재개발정비구역,성동구,안암동2가,234,0,대,정비(예정)구역,도시정비형재개발,조합(단독),조합설립인가,,,"29,884",600,60,,서울특별시고시 제20189호,2018-01-11
72,안암제2구역주택재개발정비사업조합,성북구,안암동3가,132,17,대,정비(예정)구역,재개발(주택),조합(단독),조합설립인가,수복(전면),A(소생활권),"11,189",192,25,도시주거환경정비 기본계획,제2008-276호,2008-08-14
73,길음시장,성북구,길음동,535,8,대,재정비촉진지구,시장정비사업,조합(단독),조합설립인가,수복(전면),D(뉴타운),"10,470",394,60,,제2020-394호,2020-09-24
74,길음5재정비촉진구역,성북구,정릉동,175,0,대,재정비촉진지구,재개발(주택),조합(단독),조합설립인가,수복(전면),D(뉴타운),"35,388",250,16,,구역지정 고시문 2010128,2010-04-08
75,돈암제6 주택재개발정비구역,성북구,돈암동,48,29,대,정비(예정)구역,재개발(주택),조합(단독),조합설립인가,수복(전면),A(소생활권),"47,050",265,24,도시주거환경정비 기본계획,서울특별시고시 제2011-343호,2011-11-24
76,동소문제2구역 주택재개발정비사업,성북구,동소문동2가,33,0,대,정비(예정)구역,재개발(주택),조합(단독),조합설립인가,,,"20,657",337,37,,구역지정 고시문 2002135,2002-04-23
77,성북제2구역주택재개발정비사업,성북구,성북동,226,103,임야,정비(예정)구역,재개발(주택),조합(단독),조합설립인가,,,"74,754",90,39,도시주거환경정비 기본계획,구역지정 고시문 2011237,2011-08-18
78,신길음1구역 재개발정비사업,성북구,길음동,31,1,대,재정비촉진지구,재개발(주택),조합(단독),조합설립인가,수복(전면),D(뉴타운),"8,390",667,56,,구역지정 고시문 2010138,2010-04-15
79,장위14구역 주택재개발정비사업조합,성북구,장위동,233,552,대,재정비촉진지구,재개발(주택),조합(단독),조합설립인가,,,"144,201",204,21,,최초구역지정고시 및 변경고시문 2008111,2008-04-03
80,장위15구역 주택재개발정비사업,성북구,장위동,233,42,대,재정비촉진지구,재개발(주택),조합(단독),추진위구성,,,"189,450",236,60,,구역지정 고시문 2008111,2008-04-03
81,장위3구역주택재개발정비사업조합,성북구,장위동,305,0,대,재정비촉진지구,재개발(주택),조합(단독),조합설립인가,수복(전면),,"66,011",230,14,도시주거환경정비 기본계획,제2021-306호,2021-07-01
82,정릉3동 주택재개발,성북구,정릉동,757,0,대,정비구역이 아닌 구역,재개발(주택),조합(단독),조합설립인가,,,"203,965",109,41,,서울특별시 고시 제2012179호,2012-08-02
83,마천시장,송파구,마천동,140,3,대,재정비촉진지구,(촉)재개발,조합(단독),추진위구성,,,"9,757",400이하,60이하,,제2021-31호,2021-01-21
84,마천1재정비촉진구역 주택재개발정비사업,송파구,마천동,194,1,대,재정비촉진지구,(촉)재개발,조합(단독),추진위구성,전면,,"184,498",218,26,,서울특별시고시 제20206호,2020-01-02
85,마천3구역 존치정비구역,송파구,마천동,283,0,대,재정비촉진지구,(촉)재개발,조합(단독),조합설립인가,전면,,"133,830",270,30,,서울특별시고시 제2017196호,2017-06-01
86,신정3재정비촉진구역3-1구역,양천구,신정동,1190,1,대,재정비촉진+뉴타운지구,(촉)도시환경정비,조합(단독),추진위구성,전면,D(뉴타운),"20,537",530,60,,서울특별시고시 제2010-290호,2010-08-05
87,신정3재정비촉진구역3-2구역,양천구,신정동,1182,1,대,재정비촉진+뉴타운지구,(촉)도시환경정비,조합(단독),추진위구성,전면,D(뉴타운),"15,047",530,60,,서울특별시고시 제2010-290호,2010-08-25
88,신정4재정비촉진구역,양천구,신정동,1200,1,대,재정비촉진+뉴타운지구,(촉)재건축,조합(단독),조합설립인가,전면,D(뉴타운),"80,820",243,20,,서울특별시고시 제2017-306호,2017-08-17
89,신길13재정비촉진구역,영등포구,신길동,340,1,대,재정비촉진지구,(촉)재건축,조합(단독),조합설립인가,,,"15,120",249,21,도시주거환경정비 기본계획,제2020-290호,2020-07-09
90,영등포1의2재정비촉진구역 도시환경정비사업,영등포구,영등포동7가,76,5,대,재정비촉진지구,(촉)재개발,조합(단독),조합설립인가,전면,D(뉴타운),"5,392",610,52,영등포뉴타운지구 개발기본계획,제2021-55호,2021-02-04
91,영등포1-11 도시환경정비구역,영등포구,영등포동5가,30,0,대,재정비촉진지구,(촉)재개발,조합(단독),조합설립인가,전면,D(뉴타운),"17,392",770,55,영등포뉴타운지구 개발기본계획,제2021-55호,2021-02-04
92,영등포1-12 재정비촉진구역,영등포구,영등포동5가,22,3,대,재정비촉진지구,(촉)재개발,조합(단독),조합설립인가,전면,D(뉴타운),"16,256",750,59,영등포뉴타운지구 개발기본계획,제2021-55호,2021-02-04
93,영등포1-14 재정비촉진구역,영등포구,영등포동5가,34,16,대,재정비촉진지구,(촉)재개발,조합(단독),정비구역지정,전면,D(뉴타운),"11,660",380,55,영등포뉴타운지구 개발기본계획,제2021-55호,2021-02-04
94,양평제14구역 도시환경정비사업,영등포구,양평동2가,29,6,대,정비(예정)구역,도시정비형재개발,조합(단독),추진위구성,수복(전면),,"11,082",,,,서울특별시고시 제2013368호,2013-11-07
95,양평동 신동아아파트 재건축정비사업,영등포구,양평동1가,20,0,대,정비(예정)구역,재건축(공동),조합(단독),조합설립인가,,,"20,619",300,,,,
96,유원제일2차아파트,영등포구,당산동5가,7,2,대,정비(예정)구역,재건축(공동),조합(단독),조합설립인가,,,"28,654",299,,,,
97,문래동1·2가 도시환경정비구역,영등포구,문래동1가,70,1,공장용지,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,수복,A(소생활권),"96,329",400,60,도시주거환경정비 기본계획,서울특별시 고시 제2013-217호,2013-07-11
98,문래동2·3가 도시환경정비사업,영등포구,문래동2가,14,84,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,수복,A(소생활권),"89,056",400,60,도시주거환경정비 기본계획,서울특별시 고시 제2013-217호,2013-07-11
99,문래동4가 도시환경정비구역,영등포구,문래동4가,23,6,대,정비(예정)구역,도시정비형재개발,조합(단독),추진위구성,수복,A(소생활권),"94,087",400,60,도시주거환경정비 기본계획,서울특별시 고시 제2013-217호,2013-07-11
100,신길제2구역,영등포구,신길동,190,0,대,정비(예정)구역,주택정비형재개발,조합(단독),조합설립인가,,,"116,898",226,20,,제2009-318호,2009-08-20
101,신길10 재정비촉진구역,영등포구,신길동,3590,0,대,재정비촉진지구,재건축(주택),주택공사등,사업시행인가,,,"32,134",299,33,도시주거환경정비 기본계획,제2020-290호,2020-07-09
102,후암동제1구역 주택재건축정비사업,용산구,후암동,142,4,대,정비(예정)구역,재건축(단독),토지등소유자,추진위원회승인,,,"100,000",,,도시주거환경정비 기본계획,,
103,이촌동제1구역 주택재건축정비사업,용산구,이촌동,199,0,대,정비(예정)구역,재건축(단독),토지등소유자,추진위원회승인,,,"23,544",,,도시관리계획[용산지구단위계획구역(서부이촌동 일대),,
104,신동아아파트 주택재건축정비사업,용산구,서빙고동,241,21,대,정비(예정)구역,재건축(공동),조합(단독),조합설립인가,,,"113,571",,,,,
105,한남4재정비촉진구역,용산구,보광동,360,0,대,재정비촉진지구,(촉)재개발,조합(단독),조합설립인가,전면,D(뉴타운),"162,030",210,60,,제2021-696호,2021-12-16
106,한남5재정비촉진구역,용산구,동빙고동,60,0,대,재정비촉진지구,(촉)재개발,조합(단독),조합설립인가,전면,D(뉴타운),"183,707",219,60,,제2021-696호,2021-12-16
107,청파제1구역주택재개발정비사업조합설립추진위원회,용산구,청파제2동,11,1,대,정비(예정)구역,주택정비형재개발,조합(단독),추진위구성,,,"32,257",250,25,,,
108,용산역전면 제1-2구역 도시정비형 재개발사업,용산구,한강로3가,40,712,대,정비(예정)구역,도시정비형재개발,조합(단독),추진위구성,,,"14,578",957이하,50이하,,제2015-339호,2015-10-29
109,한강로도시환경정비사업,용산구,한강로1가,158,0,대,정비(예정)구역,도시정비형재개발,조합(단독),조합설립인가,,,"41,744",448,23,,제2011-299호,2011-10-13
110,신용산역북측 제1구역 도시정비형 재개발사업,용산구,한강로2가,2,116,대,정비(예정)구역,도시정비형재개발,조합(단독),조합설립인가,,,"14,057",854,51,,제2015-201호,2015-07-09
111,정비창전면 제1구역 도시환경정비사업,용산구,한강로3가,40,641,대,정비(예정)구역,도시정비형재개발,조합(단독),추진위구성,,,"71,901",800,59,,제2018-100호,2018-06-04
112,정비창전면 제3구역 도시정비형 재개발사업,용산구,한강로3가,40,19,대,정비(예정)구역,도시정비형재개발,조합(단독),추진위구성,,,"5,805",960,60,용산 제1종지구단위계획,제2018-100호,2018-04-05
113,신당9,중구,신당동,432,1008,대,정비(예정)구역,주택정비형재개발,조합(단독),조합설립인가,전면,A(소생활권),"18,653",170,60,서울특별시 도시·주거환경정비기본계획(주택재개발사업부문),제2004-204호,2004-06-25
114,남대문-03,중구,남창동,281,24,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"4,869",460,,,,
115,남대문-11,중구,남대문로4가,202,4,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"3,681",,,,,
116,남대문-13,중구,남창동,30,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"2,507",,,,,
117,남대문-14,중구,남대문로4가,3,3,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"2,680",,,,,
118,남대문-15,중구,남대문로4가,20,1,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"2,349",,,,,
119,무교다동-5,중구,무교동,28,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"3,366",,,,,
120,무교다동-8,중구,무교동,12,1,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"1,386",569,,,,
121,무교다동-15,중구,다동,169,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"2,241",670,,,,
122,무교다동-23,중구,다동,125,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"1,330",670,,,,
123,무교다동-24,중구,다동,124,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"1,353",679,,,,
124,무교다동-30,중구,을지로1가,32,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,595,135,,,,
125,마포로5-09-1,중구,순화동,6,10,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"2,323",,,,,
126,마포로5-10,중구,중림동,624,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"8,646",500,,,,
127,마포로5-11,중구,중림동,156,106,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"2,416",500,,,,
