순번,정비 구역명,시군구명,법정동명,번,지,지목,지구유형,사업시행방식,시행자 구분,시행단계,정비유형,생활권유형,정비구역 면적(제곱미터),용적률,건폐율,기본계획명,고시번호,고시일
163,봉래-5,중구,남대문로5가,6,15,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,940,(기준)600(허용)800,60이하,,제2017-311호,2017-08-24
164,봉래-6,중구,남대문로5가,6,8,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,935,(기준)600(허용)800,60이하,,제2017-311호,2017-08-24
165,창신4,종로구,창신동,330,1,대,정비(예정)구역,도시정비형재개발,조합(단독),추진위구성,전면,,"11,509",950이하,60이하,,제2014-139호,2014-04-17
166,공평-17,종로구,종로2가,9,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"4,615",(기준)600이하(허용)800이하(상한),60이하,,제2019-327호,2019-09-26
167,공평-18,종로구,인사동,262,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"5,193",(기준)600이하(허용)800이하(상한),60이하,,제2019-327호,2019-09-26
168,신문로 2-12,종로구,신문로1가,158,0,대,정비(예정)구역,도시정비형재개발,주택공사등,정비구역지정,전면,,"1,164",(기준)600이하(허용)800이하(상한),60이하,,제2020-391호,2020-09-17
169,도렴-08-09,종로구,신문로1가,27,5,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"3,238",(기준)600(허용)700(상한)800이하,60이하,,제2017-159호,2017-05-04
170,도렴-10,종로구,당주동,167,1,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"2,088",(기준)600(허용)700(상한)800이하,60이하,,제2017-159호,2017-05-04
171,도렴-16,종로구,내수동,1,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"1,085",(기준)600(허용)700(상한)800이하,60이하,,제2017-159호,2017-05-04
172,도렴-17,종로구,내수동,4,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"1,096",(기준)600(허용)700(상한)800이하,60이하,,제2017-159호,2017-05-04
173,서린-04,종로구,서린동,113,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,852,615이하,47.8이하,,제1984-472호,1984-08-13
174,서린-05,종로구,서린동,129,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,977,600이하,40이하,,제1984-472호,1984-08-13
175,세종로-01,종로구,당주동,19,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"3,100",(기준)600(허용)700(상한)800이하,60이하,,제1996-61호,1996-03-28
176,세종로-03,종로구,세종로,168,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"1,904",(기준)600(허용)700(상한)800이하,50이하,,제1996-61호,1996-03-28
177,세종로-05,종로구,세종로,200,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,478,(기준)600(허용)700(상한)800이하,60이하,,제1996-61호,1996-03-28
178,수송 1-1,종로구,수송동,146,1,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"3,694",(기준)600(허용)700(상한)800이하,60이하,,제2010-485호,2010-12-30
179,수송 1-2,종로구,수송동,146,12,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"3,612",(기준)600(허용)700(상한)800이하,60이하,,제2010-485호,2010-12-30
180,수송 1-3,종로구,수송동,146,2,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"8,622",(기준)600(허용)700(상한)800이하,60이하,,제2010-485호,2010-12-30
181,수송 1-7,종로구,수송동,80,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"7,359",(기준)600(허용)700(상한)800이하,60이하,,제2010-485호,2010-12-30
182,수송 1-8,종로구,수송동,80,6,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"3,433",(기준)600(허용)700(상한)800이하,60이하,,제2010-485호,2010-12-30
183,중학2-2-2,종로구,중학동,40,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,913,550이하,45이하,,제2006-292호,2006-08-24
184,청진-04,종로구,청진동,250,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"2,429",800이하,50이하,,제2013-118호,2013-04-18
185,청진-09,종로구,청진동,13,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"2,419",800이하,50이하,,제2013-118호,2013-04-18
186,청진-10,종로구,청진동,30,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"2,005",800이하,50이하,,제2013-118호,2013-04-18
187,청진-11,종로구,청진동,60,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"1,531",800이하,50이하,,제2013-118호,2013-04-18
188,청진-18,종로구,공평동,129,0,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,전면,,"1,207",800이하,50이하,,제2013-118호,2013-04-18
189,종로6가,종로구,종로6가,117,0,대,정비(예정)구역,도시정비형재개발,조합(단독),조합설립인가,전면,,"12,556",665이하,60이하,,제2012-135호,2012-05-24
190,내자필운2-1,종로구,내자동,81,0,대,정비(예정)구역,도시정비형재개발,조합(단독),추진위구성,전면,,"20,877",335이하,50이하,,제2011-115호,2011-05-06
191,세운2,종로구,장사동,67,0,대,재정비촉진지구,(촉)도시환경정비,토지등소유자,정비구역지정,전면,,"38,963",600이하,60이하,,제2014-119호,2014-03-27
192,옥인동 47 일대 관리형 주거환경개선사업,종로구,옥인동,47,0,대,정비(예정)구역,주택정비형재개발,시장군수,정비구역지정,,,"30,276",,60이하,,제2021-229호,2021-05-13
193,경복궁서측 주거환경개선사업,종로구,필운동,142,7,도로,정비(예정)구역,주택정비형재개발,시장군수,정비구역지정,,,"582,297",,,,제2016-201호,2016-07-14
194,부암동 성곽마을 주거환경관리사업,종로구,부암동,265,21,대,정비(예정)구역,주거환경개선,시장군수,정비구역지정,,,"98,118",,,"종로구 부암동 성곽마을(창의문 백악,인왕마을) 관리형 주거환경개선사업 정비구역",제2017-269호,2017-07-20
195,행촌권 성곽마을 주거환경관리사업,종로구,행촌동,210,678,대,정비(예정)구역,주거환경개선,시장군수,정비구역지정,,,"141,323",,,,제2017-289호,2017-08-03
196,신영동 너와나우리마을 관리형 주거환경개선사업,종로구,신영동,214,0,대,정비(예정)구역,주거환경개선,토지등소유자,정비구역지정,전면,A(소생활권),"44,071",200이하,60이하,신영동 너와나우리마을 주거환경관리사업,제2018-36호,2018-02-22
197,충신동 성곽마을 관리형 주거환경개선사업,종로구,충신동,1,1,대,정비(예정)구역,주거환경개선,시장군수,정비구역지정,전면,A(소생활권),"29,602",60이하,150이하,충신동 성곽마을 관리형 주거환경개선사업,제2019-89호,2019-03-07
198,이화동 성곽마을 주거환경개선사업,종로구,이화동,9,59,대,정비(예정)구역,주거환경개선,시장군수,정비구역지정,,,"16,882",,,,제2019-98호,2019-03-21
199,혜화명륜 성곽마을 주거환경개선사업,종로구,명륜3가,1,1061,대,정비(예정)구역,주거환경개선,시장군수,정비구역지정,,,"287,743",,,,제2017-110호,2017-03-30
200,상봉9재정비촉진구역,중랑구,상봉동,83,1,대,정비(예정)구역,(촉)도시환경정비,토지등소유자,정비구역지정,전면,,"28,527",738,60,,제2017-174호,2017-05-25
